"Annual average consumer price index, gold, USD price index and core inflation (Previous year = 100) by Commondity group and Year"

"Commondity group","2000","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"     Food",90.52,100.59,112.89,109.48,108.91,115.02,149.16,104.57,112.95,122.80,103.26,97.86,103.80,98.94,101.65,101.61,103.71,100.46,104.51,105.00,102.44,106.85
" Gold price index",102.21,119.01,116.37,107.80,136.09,113.65,131.93,119.16,136.72,139.00,107.83,88.74,88.51,95.27,105.95,103.71,102.36,107.55,128.05,108.67,105.74,104.16
"Core infilation",..,..,..,..,..,..,..,..,7.78,13.62,8.19,4.77,3.31,2.05,1.83,1.41,1.48,2.01,2.31,0.81,2.59,4.16
