"Merchandise Export Price Index (USD, Previous year = 100) by Commondity group and Year"

"Commondity group","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"GENERAL EXPORT PRICE INDEX",119.62,99.46,97.59,101.10,96.21,98.29,102.93,100.94,103.01,98.68,102.86,107.08,98.09
"Coffee",153.19,93.84,95.95,99.85,93.59,88.75,120.42,94.32,96.88,94.91,107.55,122.00,114.70
