"Annual average consumer price index, gold, USD price index and core inflation (Previous year = 100) by Commondity group and Year"

"Commondity group","2000","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Core infilation",..,..,..,..,..,..,..,..,7.78,13.62,8.19,4.77,3.31,2.05,1.83,1.41,1.48,2.01,2.31,0.81,2.59,4.16
