date,price
2000-01,495000
2001-01,543770
2002-01,1682621
2003-01,279127
2004-01,19185353
2005-01,12586974
2006-01,12442030
2007-01,15957594
2008-01,1426333
2009-01,8296894
2010-01,55568650
2011-01,160688540
2012-01,902291021
2013-01,903708908
2014-01,892604071
2015-01,866550722
2016-01,782106656
2017-01,1026502648
2018-01,683363161
2020-01,464973468
2021-01,522761927
