Date,Price,Open,High,Low,Vol.,Change %
02/11/2025,2,45.0,2,00.0,2,45.0,2,20.0,,0.26%
02/10/2025,2,80.0,2,75.0,2,05.0,2,67.5,,0.36%
02/07/2025,2,90.0,2,40.0,2,42.5,2,82.5,,0.12%
02/06/2025,2,60.0,2,65.0,2,75.0,2,47.5,,0.46%
02/05/2025,2,45.0,2,95.0,2,95.0,2,15.0,,-0.06%
02/04/2025,2,60.0,2,80.0,2,82.5,2,60.0,,-0.47%
02/03/2025,2,80.0,2,25.0,2,55.0,2,25.0,,0.88%
01/31/2025,2,60.0,2,60.0,2,60.0,2,60.0,,0.00%
01/30/2025,2,60.0,2,60.0,2,60.0,2,60.0,,0.00%
01/29/2025,2,60.0,2,60.0,2,60.0,2,60.0,,0.00%
01/28/2025,2,60.0,2,60.0,2,60.0,2,60.0,,0.00%
01/27/2025,2,60.0,2,60.0,2,60.0,2,60.0,,0.00%
01/24/2025,2,60.0,2,30.0,2,42.5,2,25.0,,-0.08%
01/23/2025,2,80.0,2,50.0,2,57.5,2,05.0,,0.12%
01/22/2025,2,50.0,2,55.0,2,70.0,2,75.0,,-0.83%
01/21/2025,2,60.0,2,95.0,2,15.0,2,45.0,,-0.22%
01/20/2025,2,15.0,2,30.0,2,80.5,2,80.0,,0.00%
01/17/2025,2,15.0,2,55.0,2,85.0,2,18.5,,-0.22%
01/16/2025,2,70.0,2,87.5,2,88.5,2,72.5,,-0.02%
01/15/2025,2,75.0,2,85.0,2,94.0,2,82.0,,-0.02%
01/14/2025,2,80.0,2,95.0,2,00.0,2,75.0,,-0.04%
01/13/2025,2,90.0,2,75.0,2,33.5,2,70.0,,0.12%
01/10/2025,2,60.0,2,82.5,2,85.0,2,67.5,,-0.06%
01/09/2025,2,75.0,2,82.5,2,89.0,2,75.0,,0.02%
01/08/2025,2,70.0,2,85.0,2,95.0,2,76.0,,0.04%
01/07/2025,2,60.0,2,90.5,2,22.5,2,62.5,,-0.04%
01/06/2025,2,70.0,2,90.0,2,55.0,2,75.0,,-0.12%
01/03/2025,2,00.0,2,60.0,2,62.5,2,22.5,,-0.20%
01/02/2025,2,50.0,2,60.0,2,85.0,2,46.5,,-0.12%
